         isp           t
   0.0000E+00  1.8310E+03
   1.1325E+03  1.6035E+03
   2.1256E+03  1.0501E+03
   2.2416E+03  9.9063E+02
   2.3163E+03  9.5659E+02
   2.3706E+03  9.3337E+02
   0.0000E+00  1.8311E+03
   1.1325E+03  1.6037E+03
   2.1269E+03  1.0634E+03
   2.2440E+03  1.0068E+03
   2.3194E+03  9.7354E+02
   2.3742E+03  9.5044E+02
   0.0000E+00  1.8313E+03
   1.1324E+03  1.6040E+03
   2.1283E+03  1.0745E+03
   2.2461E+03  1.0194E+03
   2.3220E+03  9.8631E+02
   2.3772E+03  9.6318E+02
   0.0000E+00  1.8315E+03
   1.1324E+03  1.6044E+03
   2.1296E+03  1.0840E+03
   2.2480E+03  1.0296E+03
   2.3243E+03  9.9662E+02
   2.3798E+03  9.7340E+02
   0.0000E+00  2.0208E+03
   1.1647E+03  1.7793E+03
   2.1964E+03  1.1478E+03
   2.3145E+03  1.0575E+03
   2.3896E+03  1.0045E+03
   2.4436E+03  9.7016E+02
   0.0000E+00  2.0212E+03
   1.1648E+03  1.7793E+03
   2.1965E+03  1.1500E+03
   2.3149E+03  1.0637E+03
   2.3903E+03  1.0144E+03
   2.4448E+03  9.8246E+02
   0.0000E+00  2.0215E+03
   1.1649E+03  1.7794E+03
   2.1967E+03  1.1528E+03
   2.3154E+03  1.0700E+03
   2.3911E+03  1.0232E+03
   2.4458E+03  9.9257E+02
   0.0000E+00  2.0217E+03
   1.1649E+03  1.7795E+03
   2.1969E+03  1.1559E+03
   2.3159E+03  1.0761E+03
   2.3919E+03  1.0309E+03
   2.4469E+03  1.0011E+03
   0.0000E+00  2.1995E+03
   1.1904E+03  1.9478E+03
   2.2580E+03  1.2666E+03
   2.3801E+03  1.1620E+03
   2.4573E+03  1.0945E+03
   2.5125E+03  1.0462E+03
   0.0000E+00  2.2006E+03
   1.1907E+03  1.9480E+03
   2.2581E+03  1.2667E+03
   2.3801E+03  1.1625E+03
   2.4574E+03  1.0958E+03
   2.5127E+03  1.0488E+03
   0.0000E+00  2.2013E+03
   1.1908E+03  1.9481E+03
   2.2581E+03  1.2669E+03
   2.3802E+03  1.1633E+03
   2.4575E+03  1.0975E+03
   2.5129E+03  1.0519E+03
   0.0000E+00  2.2018E+03
   1.1910E+03  1.9482E+03
   2.2581E+03  1.2672E+03
   2.3803E+03  1.1642E+03
   2.4576E+03  1.0995E+03
   2.5131E+03  1.0553E+03
   0.0000E+00  2.3659E+03
   1.2105E+03  2.1087E+03
   2.3106E+03  1.3859E+03
   2.4365E+03  1.2725E+03
   2.5161E+03  1.1983E+03
   2.5731E+03  1.1442E+03
   0.0000E+00  2.3684E+03
   1.2111E+03  2.1092E+03
   2.3107E+03  1.3858E+03
   2.4367E+03  1.2724E+03
   2.5163E+03  1.1982E+03
   2.5733E+03  1.1443E+03
   0.0000E+00  2.3700E+03
   1.2114E+03  2.1096E+03
   2.3108E+03  1.3857E+03
   2.4367E+03  1.2724E+03
   2.5164E+03  1.1983E+03
   2.5734E+03  1.1445E+03
   0.0000E+00  2.3711E+03
   1.2117E+03  2.1098E+03
   2.3109E+03  1.3857E+03
   2.4368E+03  1.2725E+03
   2.5164E+03  1.1985E+03
   2.5734E+03  1.1448E+03
   0.0000E+00  2.5186E+03
   1.2253E+03  2.2609E+03
   2.3553E+03  1.5042E+03
   2.4848E+03  1.3830E+03
   2.5668E+03  1.3032E+03
   2.6255E+03  1.2447E+03
   0.0000E+00  2.5235E+03
   1.2265E+03  2.2624E+03
   2.3557E+03  1.5039E+03
   2.4851E+03  1.3828E+03
   2.5671E+03  1.3029E+03
   2.6257E+03  1.2445E+03
   0.0000E+00  2.5266E+03
   1.2273E+03  2.2632E+03
   2.3559E+03  1.5037E+03
   2.4853E+03  1.3826E+03
   2.5672E+03  1.3028E+03
   2.6259E+03  1.2443E+03
   0.0000E+00  2.5287E+03
   1.2278E+03  2.2638E+03
   2.3560E+03  1.5036E+03
   2.4854E+03  1.3825E+03
   2.5673E+03  1.3027E+03
   2.6260E+03  1.2443E+03
   0.0000E+00  2.6567E+03
   1.2356E+03  2.4034E+03
   2.3931E+03  1.6212E+03
   2.5260E+03  1.4931E+03
   2.6102E+03  1.4082E+03
   2.6705E+03  1.3458E+03
   0.0000E+00  2.6650E+03
   1.2375E+03  2.4063E+03
   2.3937E+03  1.6206E+03
   2.5266E+03  1.4926E+03
   2.6107E+03  1.4077E+03
   2.6709E+03  1.3453E+03
