         isp           t
   0.0000E+00  1.6693E+03
   1.0794E+03  1.4637E+03
   2.2911E+03  9.5299E+02
   0.0000E+00  1.8641E+03
   1.1189E+03  1.6380E+03
   2.3561E+03  9.7382E+02
   0.0000E+00  2.0502E+03
   1.1498E+03  1.8101E+03
   2.4240E+03  1.0080E+03
   0.0000E+00  2.2265E+03
   1.1747E+03  1.9757E+03
   2.4893E+03  1.0756E+03
   0.0000E+00  2.3922E+03
   1.1947E+03  2.1344E+03
   2.5477E+03  1.1702E+03
   0.0000E+00  2.5464E+03
   1.2102E+03  2.2855E+03
   2.5986E+03  1.2696E+03
   0.0000E+00  2.6884E+03
   1.2216E+03  2.4283E+03
   2.6428E+03  1.3695E+03
   0.0000E+00  2.8173E+03
   1.2295E+03  2.5619E+03
   2.6809E+03  1.4695E+03
   0.0000E+00  2.9329E+03
   1.2343E+03  2.6851E+03
   2.7135E+03  1.5695E+03
   0.0000E+00  3.0349E+03
   1.2363E+03  2.7971E+03
   2.7412E+03  1.6694E+03
   0.0000E+00  3.1237E+03
   1.2361E+03  2.8970E+03
   2.7642E+03  1.7692E+03
   0.0000E+00  3.1995E+03
   1.2341E+03  2.9846E+03
   2.7830E+03  1.8688E+03
   0.0000E+00  3.2629E+03
   1.2306E+03  3.0595E+03
   2.7977E+03  1.9680E+03
   0.0000E+00  3.3150E+03
   1.2261E+03  3.1221E+03
   2.8084E+03  2.0662E+03
   0.0000E+00  3.3568E+03
   1.2208E+03  3.1730E+03
   2.8154E+03  2.1626E+03
   0.0000E+00  3.3896E+03
   1.2151E+03  3.2133E+03
   2.8186E+03  2.2557E+03
   0.0000E+00  3.4150E+03
   1.2090E+03  3.2446E+03
   2.8184E+03  2.3432E+03
   0.0000E+00  3.4340E+03
   1.2027E+03  3.2682E+03
   2.8149E+03  2.4217E+03
   0.0000E+00  3.4479E+03
   1.1964E+03  3.2855E+03
   2.8084E+03  2.4875E+03
   0.0000E+00  3.4576E+03
   1.1900E+03  3.2978E+03
   2.7996E+03  2.5381E+03
   0.0000E+00  3.4640E+03
   1.1836E+03  3.3060E+03
   2.7890E+03  2.5739E+03
