         isp           t
   0.0000E+00  2.6401E+03
   1.2319E+03  2.3815E+03
   2.5127E+03  1.4752E+03
   0.0000E+00  2.7697E+03
   1.2397E+03  2.5168E+03
   2.5489E+03  1.5843E+03
   0.0000E+00  2.8849E+03
   1.2441E+03  2.6409E+03
   2.5794E+03  1.6927E+03
   0.0000E+00  2.9861E+03
   1.2457E+03  2.7529E+03
   2.6046E+03  1.8004E+03
   0.0000E+00  3.0738E+03
   1.2450E+03  2.8524E+03
   2.6250E+03  1.9070E+03
   0.0000E+00  3.1484E+03
   1.2426E+03  2.9390E+03
   2.6409E+03  2.0122E+03
   0.0000E+00  3.2110E+03
   1.2387E+03  3.0131E+03
   2.6525E+03  2.1152E+03
   0.0000E+00  3.2625E+03
   1.2339E+03  3.0750E+03
   2.6602E+03  2.2150E+03
   0.0000E+00  3.3041E+03
   1.2283E+03  3.1256E+03
   2.6641E+03  2.3098E+03
   0.0000E+00  3.3372E+03
   1.2222E+03  3.1660E+03
   2.6644E+03  2.3977E+03
   0.0000E+00  3.3629E+03
   1.2159E+03  3.1976E+03
   2.6616E+03  2.4760E+03
   0.0000E+00  3.3825E+03
   1.2093E+03  3.2218E+03
   2.6560E+03  2.5425E+03
   0.0000E+00  3.3972E+03
   1.2027E+03  3.2400E+03
   2.6480E+03  2.5955E+03
   0.0000E+00  3.4078E+03
   1.1961E+03  3.2532E+03
   2.6382E+03  2.6355E+03
   0.0000E+00  3.4150E+03
   1.1895E+03  3.2624E+03
   2.6271E+03  2.6641E+03
   0.0000E+00  3.4195E+03
   1.1830E+03  3.2685E+03
   2.6152E+03  2.6837E+03
