           p         isp           t         pip        aeat
   2.0684E+01  0.0000E+00  2.5410E+03  1.0000E+00  0.0000E+00
   1.1538E+01  1.2089E+03  2.2839E+03  1.7928E+00  1.0000E+00
   1.0135E+00  2.4582E+03  1.4085E+03  2.0408E+01  3.4493E+00
   7.6014E-01  2.5398E+03  1.3285E+03  2.7211E+01  4.1985E+00
   6.0812E-01  2.5983E+03  1.2698E+03  3.4014E+01  4.9035E+00
   5.0676E-01  2.6433E+03  1.2241E+03  4.0816E+01  5.5755E+00
   2.7579E+01  0.0000E+00  2.5442E+03  1.0000E+00  0.0000E+00
   1.5378E+01  1.2096E+03  2.2848E+03  1.7934E+00  1.0000E+00
   1.3514E+00  2.4584E+03  1.4083E+03  2.0408E+01  3.4484E+00
   1.0135E+00  2.5400E+03  1.3284E+03  2.7211E+01  4.1975E+00
   8.1082E-01  2.5985E+03  1.2697E+03  3.4014E+01  4.9023E+00
   6.7568E-01  2.6434E+03  1.2239E+03  4.0816E+01  5.5742E+00
   3.4474E+01  0.0000E+00  2.5464E+03  1.0000E+00  0.0000E+00
   1.9217E+01  1.2102E+03  2.2855E+03  1.7939E+00  1.0000E+00
   1.6892E+00  2.4585E+03  1.4082E+03  2.0408E+01  3.4479E+00
   1.2669E+00  2.5401E+03  1.3282E+03  2.7211E+01  4.1968E+00
   1.0135E+00  2.5986E+03  1.2696E+03  3.4014E+01  4.9016E+00
   8.4460E-01  2.6435E+03  1.2238E+03  4.0816E+01  5.5734E+00
   4.1368E+01  0.0000E+00  2.5481E+03  1.0000E+00  0.0000E+00
   2.3056E+01  1.2106E+03  2.2860E+03  1.7942E+00  1.0000E+00
   2.0271E+00  2.4586E+03  1.4081E+03  2.0408E+01  3.4474E+00
   1.5203E+00  2.5402E+03  1.3282E+03  2.7211E+01  4.1963E+00
   1.2162E+00  2.5987E+03  1.2695E+03  3.4014E+01  4.9010E+00
   1.0135E+00  2.6436E+03  1.2238E+03  4.0816E+01  5.5729E+00
   2.0684E+01  0.0000E+00  2.6792E+03  1.0000E+00  0.0000E+00
   1.1588E+01  1.2196E+03  2.4250E+03  1.7850E+00  1.0000E+00
   1.0135E+00  2.4984E+03  1.5174E+03  2.0408E+01  3.4856E+00
   7.6014E-01  2.5822E+03  1.4325E+03  2.7211E+01  4.2454E+00
   6.0812E-01  2.6422E+03  1.3701E+03  3.4014E+01  4.9599E+00
   5.0676E-01  2.6884E+03  1.3211E+03  4.0816E+01  5.6408E+00
   2.7579E+01  0.0000E+00  2.6846E+03  1.0000E+00  0.0000E+00
   1.5442E+01  1.2208E+03  2.4270E+03  1.7860E+00  1.0000E+00
   1.3514E+00  2.4988E+03  1.5170E+03  2.0408E+01  3.4839E+00
   1.0135E+00  2.5825E+03  1.4322E+03  2.7211E+01  4.2433E+00
   8.1082E-01  2.6425E+03  1.3697E+03  3.4014E+01  4.9575E+00
   6.7568E-01  2.6887E+03  1.3208E+03  4.0816E+01  5.6381E+00
   3.4474E+01  0.0000E+00  2.6884E+03  1.0000E+00  0.0000E+00
   1.9295E+01  1.2216E+03  2.4283E+03  1.7867E+00  1.0000E+00
   1.6892E+00  2.4990E+03  1.5168E+03  2.0408E+01  3.4827E+00
   1.2669E+00  2.5827E+03  1.4320E+03  2.7211E+01  4.2418E+00
   1.0135E+00  2.6427E+03  1.3695E+03  3.4014E+01  4.9559E+00
   8.4460E-01  2.6889E+03  1.3206E+03  4.0816E+01  5.6363E+00
   4.1368E+01  0.0000E+00  2.6913E+03  1.0000E+00  0.0000E+00
   2.3146E+01  1.2223E+03  2.4294E+03  1.7872E+00  1.0000E+00
   2.0271E+00  2.4992E+03  1.5166E+03  2.0408E+01  3.4818E+00
   1.5203E+00  2.5829E+03  1.4318E+03  2.7211E+01  4.2408E+00
   1.2162E+00  2.6429E+03  1.3694E+03  3.4014E+01  4.9547E+00
   1.0135E+00  2.6890E+03  1.3205E+03  4.0816E+01  5.6349E+00
   2.0684E+01  0.0000E+00  2.8034E+03  1.0000E+00  0.0000E+00
   1.1641E+01  1.2265E+03  2.5559E+03  1.7768E+00  1.0000E+00
   1.0135E+00  2.5326E+03  1.6256E+03  2.0408E+01  3.5259E+00
   7.6014E-01  2.6184E+03  1.5364E+03  2.7211E+01  4.2975E+00
   6.0812E-01  2.6800E+03  1.4705E+03  3.4014E+01  5.0233E+00
   5.0676E-01  2.7273E+03  1.4187E+03  4.0816E+01  5.7148E+00
   2.7579E+01  0.0000E+00  2.8115E+03  1.0000E+00  0.0000E+00
   1.5509E+01  1.2283E+03  2.5594E+03  1.7782E+00  1.0000E+00
   1.3514E+00  2.5332E+03  1.6250E+03  2.0408E+01  3.5227E+00
   1.0135E+00  2.6190E+03  1.5359E+03  2.7211E+01  4.2938E+00
   8.1082E-01  2.6805E+03  1.4699E+03  3.4014E+01  5.0190E+00
   6.7568E-01  2.7278E+03  1.4182E+03  4.0816E+01  5.7099E+00
   3.4474E+01  0.0000E+00  2.8173E+03  1.0000E+00  0.0000E+00
   1.9376E+01  1.2295E+03  2.5619E+03  1.7792E+00  1.0000E+00
   1.6892E+00  2.5336E+03  1.6247E+03  2.0408E+01  3.5206E+00
   1.2669E+00  2.6193E+03  1.5355E+03  2.7211E+01  4.2912E+00
   1.0135E+00  2.6808E+03  1.4696E+03  3.4014E+01  5.0160E+00
   8.4460E-01  2.7281E+03  1.4178E+03  4.0816E+01  5.7066E+00
   4.1368E+01  0.0000E+00  2.8218E+03  1.0000E+00  0.0000E+00
   2.3241E+01  1.2305E+03  2.5637E+03  1.7800E+00  1.0000E+00
   2.0271E+00  2.5340E+03  1.6244E+03  2.0408E+01  3.5190E+00
   1.5203E+00  2.6196E+03  1.5352E+03  2.7211E+01  4.2893E+00
   1.2162E+00  2.6811E+03  1.4693E+03  3.4014E+01  5.0138E+00
   1.0135E+00  2.7283E+03  1.4175E+03  4.0816E+01  5.7041E+00
   2.0684E+01  0.0000E+00  2.9133E+03  1.0000E+00  0.0000E+00
   1.1695E+01  1.2302E+03  2.6754E+03  1.7687E+00  1.0000E+00
   1.0135E+00  2.5614E+03  1.7332E+03  2.0408E+01  3.5703E+00
   7.6014E-01  2.6492E+03  1.6401E+03  2.7211E+01  4.3554E+00
   6.0812E-01  2.7121E+03  1.5710E+03  3.4014E+01  5.0938E+00
   5.0676E-01  2.7606E+03  1.5166E+03  4.0816E+01  5.7973E+00
   2.7579E+01  0.0000E+00  2.9247E+03  1.0000E+00  0.0000E+00
   1.5578E+01  1.2326E+03  2.6811E+03  1.7704E+00  1.0000E+00
   1.3514E+00  2.5623E+03  1.7323E+03  2.0408E+01  3.5654E+00
   1.0135E+00  2.6500E+03  1.6392E+03  2.7211E+01  4.3494E+00
   8.1082E-01  2.7129E+03  1.5702E+03  3.4014E+01  5.0869E+00
   6.7568E-01  2.7613E+03  1.5158E+03  4.0816E+01  5.7895E+00
   3.4474E+01  0.0000E+00  2.9329E+03  1.0000E+00  0.0000E+00
   1.9459E+01  1.2343E+03  2.6851E+03  1.7716E+00  1.0000E+00
   1.6892E+00  2.5630E+03  1.7317E+03  2.0408E+01  3.5619E+00
   1.2669E+00  2.6506E+03  1.6386E+03  2.7211E+01  4.3452E+00
   1.0135E+00  2.7135E+03  1.5696E+03  3.4014E+01  5.0821E+00
   8.4460E-01  2.7618E+03  1.5152E+03  4.0816E+01  5.7841E+00
